0,100.2127992,59.64102878,-978.0606055,9412.235578,
0.25,94.71943033,33.48265552,452.8738821,-1820.083798,
0.3025,102.9559025,56.23537104,4343.80726,-41272.69912,
0.36,111.9085897,169.7720699,-18.57832717,161.5505659,
0.4225,121.6397714,169.2379433,10.8467239,-173.5474044,
0.49,132.2171429,169.6501226,-773.2622081,11604.52519,
0.5625,143.7142857,7.836751239,-1448.669861,9793.584435,
0.64,140.4,-26.5896376,91.76995044,-838.9032408,
0.7225,138.5,-16.15588493,135.5346512,-1207.19261,
0.81,137.4117647,-4.877818396,207.2405628,-1682.579404,
0.9025,137.4444444,5.202938609,260.7100238,-1926.630162,
1,138.6315789,16.46335804,280.7283695,-1947.901073,
1.1025,141.1,29.77905516,314.2726621,-2146.293371,
1.21,145.1428571,45.82733886,385.9896224,-2475.529935,
1.3225,151.4545455,66.42136946,512.5908964,-3314.147132,
1.44,160.6956522,94.09781678,784.2287593,-4774.939305,
1.5625,174.8333333,137.6594121,1193.382498,-7096.258135,
1.69,196.56,205.1405103,1881.69212,-10649.97487,
1.8225,231.2307692,314.2787679,3004.215502,-16616.13336,
1.96,286.962963,489.1796456,5045.767999,-26891.51319,
2.1025,379.7142857,794.0262907,8028.801958,-40433.95686,
2.25,538.8965517,1319.178725,11210.79252,-53114.48906,
2.4025,806.9333333,2146.692358,12751.51576,-55342.27767,
2.56,1234.580645,3188.637226,11931.38643,-50378.10338,
2.7225,1835.9375,4252.921598,10573.70598,-41582.46368,
2.89,2627.818182,5259.498715,7808.511891,-29586.24553,
3.0625,3588.823529,6012.848531,7266.293412,-30286.18031,
3.24,4686.8,6831.185804,7204.744658,-23165.92691,
3.4225,5996.777778,7523.389799,6767.120093,-31648.67328,
3.61,7402.810811,8336.232227,12807.10368,-43466.92576,
3.8025,9129.578947,9661.203739,14983.04406,-60159.8841,
4,11115.4359,11492.29024,6890.212384,5474.673481,
4.41,13696.1,11888.63681,6543.698614,-26596.23047,
4.84,17837.39803,11720.7734,82726.49423,-158537.8922,
5.29,25568.58718,20411.33721,295158.0304,-542055.2774,
6.25,45128.40293,66312.11235,204252.9116,-118675.696,
9,192030.8535,170576.3726,-8632.448406,6135.468551,
25,723431.5595,112240.5296,-13819.32153,593.9430301,
,,1414324.373,-23885.33169,-96303.89091,24045.75379
,,1120418.072,-158074.5122,-9575.769687,212.3280819
