x, Euler Method, 2nd Order Runge-Kutta, 4th Order Runge-Kutta, Exact Solution
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,1.004999999999999893e+00,1.005012520833333367e+00,1.005012520859400960e+00
2.000000000000000111e-01,1.010000000000000009e+00,1.020150374999999832e+00,1.020201339758368464e+00,1.020201340026755776e+00
3.000000000000000444e-01,1.030200000000000005e+00,1.045909171968749884e+00,1.046027858885970385e+00,1.046027859908716939e+00
4.000000000000000222e-01,1.061106000000000105e+00,1.083065095302939707e+00,1.083287064820495083e+00,1.083287067674958637e+00
5.000000000000000000e-01,1.103550240000000127e+00,1.132777783177344677e+00,1.133148446117537178e+00,1.133148453066826322e+00
6.000000000000000888e-01,1.158727752000000111e+00,1.196638130703967517e+00,1.197217347412631083e+00,1.197217363121810152e+00
7.000000000000000666e-01,1.228251417120000077e+00,1.276753053554598116e+00,1.277621279469109750e+00,1.277621313204886588e+00
8.000000000000000444e-01,1.314229016318400056e+00,1.375861009336773799e+00,1.377127694901941757e+00,1.377127764335957183e+00
9.000000000000000222e-01,1.419367337623872016e+00,1.497487122562144668e+00,1.499302362448323933e+00,1.499302500056767018e+00
1.000000000000000000e+00,1.547110398010020482e+00,1.646150156654501595e+00,1.648721007053396415e+00,1.648721270700128194e+00
1.100000000000000089e+00,1.701821437811022575e+00,1.827638211425660408e+00,1.831251718648021942e+00,1.831252208885773447e+00
1.200000000000000178e+00,1.889021795970235118e+00,2.049376417426878483e+00,2.054432322508892739e+00,2.054433210643888064e+00
1.300000000000000044e+00,2.115704411486663439e+00,2.320918792735939817e+00,2.327976241192030837e+00,2.327977814570235005e+00
1.400000000000000133e+00,2.390745984979929517e+00,2.654608892161549605e+00,2.664453507094859841e+00,2.664456241929417768e+00
1.500000000000000000e+00,2.725450422877119472e+00,3.066471461780414298e+00,3.080212170663906956e+00,3.080216848918031047e+00
1.600000000000000089e+00,3.134267986308687526e+00,3.577422269099575836e+00,3.596631828763817929e+00,3.596639725569282575e+00
1.700000000000000178e+00,3.635750864118077352e+00,4.214918917453120528e+00,4.241838958646269475e+00,4.241852142820436100e+00
1.800000000000000044e+00,4.253828511018150849e+00,5.015226646904531904e+00,5.053068500297391630e+00,5.053090316563867646e+00
1.900000000000000133e+00,5.019517643001417895e+00,6.026547100252830802e+00,6.079935604679874928e+00,6.079971448520339550e+00
2.000000000000000000e+00,5.973225995171687508e+00,7.313365569834316737e+00,7.388997533818884911e+00,7.389056098930650407e+00
