Frequency [Hz],Max z1 - z2 [m]
0.01,6.501487946493493e-06
0.02,2.754048832694471e-05
0.03,5.931036606440414e-05
0.04,0.00011100368946235852
0.05,0.00017452050727014492
0.06,0.0002529939528026499
0.07,0.00034806816769556164
0.08,0.0004592340799340223
0.09,0.0005881431021181116
0.1,0.0007377282497713074
0.11,0.0009042843528077281
0.12,0.0010964123420917876
0.13,0.0013102438413591833
0.14,0.001548527096330819
0.15,0.0018214690481263933
0.16,0.0021315100834111114
0.17,0.002457582455373815
0.18,0.0028452286522444308
0.19,0.0032547918150409856
0.2,0.003739556838942906
0.21,0.004264832352488729
0.22,0.004900504725563632
0.23,0.005620901659074957
0.24,0.006348688599433132
0.25,0.007249333323105287
0.26,0.008228799218842215
0.27,0.00935618730413276
0.28,0.010664143172582708
0.29,0.012173862012647302
0.3,0.013920966374859813
0.31,0.01596124249702059
0.32,0.018514104017154847
0.33,0.021317277533945477
0.34,0.024198281915725803
0.35000000000000003,0.027055925910321136
0.36,0.029956132477769834
0.37,0.03258599661345272
0.38,0.03452263857421007
0.39,0.03552640187379045
0.4,0.03561979020541427
0.41000000000000003,0.03518784078258136
0.42,0.03422513816725938
0.43,0.03279952279259942
0.44,0.03108323028987296
0.45,0.029256098838245592
0.46,0.027880620640277128
0.47000000000000003,0.026699692896731884
0.48,0.02566588725848528
0.49,0.024768773338396066
0.5,0.023982692343864808
